desk_no,school_name,directorate,neighborhood,arabic,first_forign_lang,second_forign_lang,biology,geology,chemistry,physics,history,geography,philosophy,psychology,total_scores,status
870000,منازل إدارة   دشنا,قنــــــــا,دشنا,41.0,32.0,35.0,30.0,30.0,16.0,30.0,NA,NA,NA,NA,214.0,Fail
870004,السمطا بحرى الثانوية,قنــــــــا,دشنا,40.0,46.0,20.0,NA,NA,NA,NA,30.0,30.0,35.0,30.0,231.0,Pass
870007,السمطا بحرى الثانوية,قنــــــــا,دشنا,42.0,25.0,20.0,NA,NA,NA,NA,30.0,30.0,31.0,33.0,211.0,Pass
870010,السمطا بحرى الثانوية,قنــــــــا,دشنا,40.0,25.0,20.0,NA,NA,NA,NA,30.0,30.0,35.0,35.0,215.0,Pass
870013,السمطا بحرى الثانوية,قنــــــــا,دشنا,40.0,27.0,27.0,30.0,30.0,30.0,30.0,NA,NA,NA,NA,214.0,Pass
870016,السمطا بحرى الثانوية,قنــــــــا,دشنا,51.0,25.0,20.0,30.0,34.0,30.0,30.0,NA,NA,NA,NA,220.0,Pass
870017,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,25.0,35.0,NA,NA,NA,NA,30.0,30.0,30.0,30.0,220.0,Pass
870022,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,27.0,27.0,NA,NA,NA,NA,30.0,35.0,30.0,36.0,225.0,Pass
870023,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,25.0,20.0,NA,NA,NA,NA,30.0,30.0,33.0,30.0,208.0,Pass
870024,دشنا الثانوية المشتركة,قنــــــــا,دشنا,41.0,41.0,20.0,NA,NA,NA,NA,30.0,30.0,35.0,39.0,236.0,Pass
870027,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,25.0,20.0,NA,NA,NA,NA,30.0,30.0,30.0,31.0,206.0,Pass
870028,دشنا الثانوية المشتركة,قنــــــــا,دشنا,41.0,25.0,20.0,NA,NA,NA,NA,30.0,30.0,30.0,31.0,207.0,Pass
870029,دشنا الثانوية المشتركة,قنــــــــا,دشنا,41.0,25.0,20.0,NA,NA,NA,NA,30.0,30.0,30.0,30.0,206.0,Pass
870030,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,42.0,31.0,NA,NA,NA,NA,30.0,30.0,30.0,30.0,233.0,Pass
870031,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,25.0,26.0,NA,NA,NA,NA,30.0,30.0,30.0,35.0,216.0,Pass
870032,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,25.0,20.0,NA,NA,NA,NA,30.0,31.0,36.0,35.0,217.0,Pass
870033,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,45.0,37.0,NA,NA,NA,NA,38.0,32.0,30.0,35.0,257.0,Pass
870034,دشنا الثانوية المشتركة,قنــــــــا,دشنا,45.0,25.0,20.0,NA,NA,NA,NA,30.0,30.0,30.0,34.0,214.0,Pass
870036,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,25.0,20.0,NA,NA,NA,NA,30.0,30.0,30.0,30.0,205.0,Pass
870037,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,25.0,20.0,NA,NA,NA,NA,30.0,30.0,30.0,31.0,206.0,Pass
870039,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,34.0,20.0,NA,NA,NA,NA,30.0,30.0,30.0,30.0,214.0,Pass
870041,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,40.0,20.0,NA,NA,NA,NA,30.0,37.0,42.0,48.0,257.0,Pass
870045,دشنا الثانوية المشتركة,قنــــــــا,دشنا,52.0,32.0,38.0,36.0,30.0,30.0,31.0,NA,NA,NA,NA,249.0,Pass
870049,دشنا الثانوية المشتركة,قنــــــــا,دشنا,40.0,40.0,20.0,30.0,37.0,30.0,30.0,NA,NA,NA,NA,227.0,Pass
865231,فصول بنى غنى الملحقة ث المشتركة بمدرسة بنى غنى الاعدادية بنين,المنيـــــا,سمالوط,40.0,27.0,21.0,30.0,30.0,30.0,30.0,NA,NA,NA,NA,208.0,Pass
868686,قنا الثانوية الجديدة المشتركة,قنــــــــا,قنا,46.0,29.0,33.0,30.0,30.0,48.0,30.0,NA,NA,NA,NA,246.0,Pass
868682,قنا الثانوية الجديدة المشتركة,قنــــــــا,قنا,41.0,25.0,20.0,NA,NA,NA,NA,30.0,30.0,31.0,36.0,213.0,Pass
481548,ش/ الدكتور محمد حمدي عاشور الثانوية,الغربية,كفر الزيات,44.0,25.0,31.0,35.0,46.0,47.0,31.0,NA,NA,NA,NA,259.0,Pass
893538,الثانوية الناصرية الخاصة بأبوتيج,اسيوط,ابو تيج,40.0,25.0,20.0,NA,NA,NA,NA,31.0,30.0,30.0,36.0,212.0,Pass
387692,المطرية ث بنات,القاهرة,المطرية,40.0,25.0,23.0,NA,NA,NA,NA,30.0,30.0,34.0,35.0,217.0,Pass
173148,خدمات على بن ابى طالب ث بنين,بنى سويف,بنى سويف,40.0,26.0,20.0,30.0,34.0,36.0,30.0,NA,NA,NA,NA,216.0,Pass
234727,الخليفة المأمون الثانوية الخاصة للبنات,القاهرة,مصر الجديدة,40.0,25.0,20.0,NA,NA,NA,NA,30.0,30.0,32.0,34.0,211.0,Pass
546254,العجمى الثانوية بنات,الاسكندرية,العجمى,58.0,34.0,33.0,30.0,47.0,30.0,30.0,NA,NA,NA,NA,262.0,Pass
